timestamp,FR_Hip,FR_Thigh,FR_Calf,FL_Hip,FL_Thigh,FL_Calf,BR_Hip,BR_Thigh,BR_Calf,BL_Hip,BL_Thigh,BL_Calf
1782329030.204,90.00,48.12,112.30,93.00,135.06,61.60,97.00,53.27,111.13,97.00,126.01,62.72
1782329221.133,90.00,42.32,117.02,93.00,129.44,65.96,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.245,90.00,42.32,117.02,93.00,129.46,65.94,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.358,90.00,42.32,117.02,93.00,129.49,65.92,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.473,90.00,42.32,117.02,93.00,129.52,65.89,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.585,90.00,42.32,117.02,93.00,129.54,65.87,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.698,90.00,42.32,117.02,93.00,129.57,65.85,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.814,90.00,42.32,117.02,93.00,129.60,65.83,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329221.926,90.00,42.32,117.02,93.00,129.63,65.81,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.040,90.00,42.32,117.02,93.00,129.65,65.79,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.154,90.00,42.32,117.02,93.00,129.68,65.76,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.256,90.00,42.32,117.02,93.00,129.70,65.75,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.370,90.00,42.32,117.02,93.00,129.73,65.72,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.482,90.00,42.32,117.02,93.00,129.76,65.70,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.595,90.00,42.32,117.02,93.00,129.79,65.68,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.706,90.00,42.32,117.02,93.00,129.81,65.66,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.818,90.00,42.32,117.02,93.00,129.84,65.64,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329222.931,90.00,42.32,117.02,93.00,129.87,65.62,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.044,90.00,42.32,117.02,93.00,129.89,65.60,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.157,90.00,42.32,117.02,93.00,129.92,65.58,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.269,90.00,42.32,117.02,93.00,129.95,65.55,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.380,90.00,42.32,117.02,93.00,129.97,65.53,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.493,90.00,42.32,117.02,93.00,130.00,65.51,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.607,90.00,42.32,117.02,93.00,130.03,65.49,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.719,90.00,42.32,117.02,93.00,130.05,65.47,97.00,42.32,120.02,97.00,120.68,66.98,-0.18,-0.17,-0.18,-0.18
1782329223.830,90.00,44.07,115.60,93.00,130.08,65.45,97.00,47.04,116.18,97.00,122.38,65.60,-0.19,-0.17,-0.20,-0.18
1782329223.943,90.00,43.72,115.89,93.00,130.78,64.90,97.00,47.85,115.52,97.00,122.05,65.87,-0.19,-0.16,-0.20,-0.18
1782329224.055,90.00,44.37,115.36,93.00,130.44,65.17,97.00,47.45,115.85,97.00,122.66,65.38,-0.19,-0.16,-0.20,-0.17
1782329224.166,90.00,44.24,115.46,93.00,130.34,65.25,97.00,47.33,115.94,97.00,122.54,65.47,-0.19,-0.17,-0.20,-0.17
1782329224.280,90.00,44.14,115.55,93.00,130.19,65.36,97.00,47.16,116.08,97.00,122.44,65.55,-0.19,-0.17,-0.20,-0.18
1782329224.392,90.00,44.31,115.41,93.00,130.07,65.46,97.00,47.02,116.19,97.00,122.61,65.42,-0.19,-0.17,-0.20,-0.17
1782329224.506,90.00,44.17,115.52,93.00,130.24,65.32,97.00,47.22,116.03,97.00,122.47,65.53,-0.19,-0.17,-0.20,-0.17
1782329224.619,90.00,44.15,115.54,93.00,130.30,65.27,97.00,47.29,115.98,97.00,122.45,65.54,-0.19,-0.17,-0.20,-0.18
1782329224.731,90.00,44.17,115.52,93.00,130.33,65.25,97.00,47.32,115.95,97.00,122.47,65.53,-0.19,-0.17,-0.20,-0.17
1782329224.842,90.00,44.15,115.54,93.00,130.32,65.26,97.00,47.32,115.95,97.00,122.45,65.55,-0.19,-0.17,-0.20,-0.18
1782329224.953,90.00,44.20,115.50,93.00,130.38,65.21,97.00,47.39,115.90,97.00,122.50,65.51,-0.19,-0.17,-0.20,-0.17
1782329225.065,90.00,44.18,115.52,93.00,130.38,65.21,97.00,47.38,115.90,97.00,122.48,65.52,-0.19,-0.17,-0.20,-0.17
1782329225.178,90.00,44.19,115.50,93.00,130.41,65.19,97.00,47.41,115.88,97.00,122.49,65.51,-0.19,-0.17,-0.20,-0.17
1782329225.293,90.00,44.05,115.62,93.00,130.29,65.28,97.00,47.28,115.99,97.00,122.35,65.62,-0.19,-0.17,-0.20,-0.18
1782329225.405,90.00,44.22,115.48,93.00,130.46,65.15,97.00,47.48,115.82,97.00,122.52,65.49,-0.19,-0.16,-0.20,-0.17
1782329225.517,90.00,44.23,115.47,93.00,130.49,65.13,97.00,47.51,115.80,97.00,122.53,65.48,-0.19,-0.16,-0.20,-0.17
1782329225.630,90.00,44.25,115.46,93.00,130.51,65.11,97.00,47.54,115.77,97.00,122.54,65.47,-0.19,-0.16,-0.20,-0.17
1782329225.742,90.00,44.26,115.45,93.00,130.54,65.09,97.00,47.57,115.75,97.00,122.56,65.46,-0.19,-0.16,-0.20,-0.17
1782329225.854,90.00,44.27,115.44,93.00,130.57,65.06,97.00,47.60,115.72,97.00,122.57,65.45,-0.19,-0.16,-0.20,-0.17
1782329225.966,90.00,44.29,115.43,93.00,130.59,65.04,97.00,47.63,115.70,97.00,122.58,65.44,-0.19,-0.16,-0.20,-0.17
1782329226.079,90.00,44.30,115.42,93.00,130.62,65.02,97.00,47.66,115.67,97.00,122.60,65.43,-0.19,-0.16,-0.20,-0.17
1782329226.191,90.00,44.31,115.40,93.00,130.65,65.00,97.00,47.69,115.65,97.00,122.61,65.42,-0.19,-0.16,-0.20,-0.17
